Item ID,Item Name,Rarity
1,Potion,1
2,Mega Potion,2
3,Max Potion,3
4,Ancient Potion,5
5,Antidote,1
6,Herbal Medecine,2
7,Nulberry,2
8,Energy Drink,2
9,Ration,1
11,Well-done Steak,2
12,Burnt Meat,1
13,Cool Drink,1
14,Nutrients,2
15,Mega Nutrients,3
16,Immunizer,3
17,Astera Jerky,2
18,Dash Juice,2
20,Might Seed,2
21,Demondrug,4
22,Mega Demondrug,5
23,Might Pill,4
24,Adamant Seed,2
25,Armorskin,4
26,Mega Armorskin,5
27,Adamant Pill,4
28,Lifepowder,4
29,Herbal Powder,4
30,Demon Powder,4
31,Hardshell Powder,4
32,Honey,2
33,Herb,1
34,Antidote Herb,1
35,Fire Herb,2
36,Flowfern,1
37,Snow Herb,2
38,Sleep Herb,1
39,Ivy,1
40,Smokenut,1
41,Dragonfell Berry,4
42,Blue Mushroom,2
43,Mandragora,3
44,Nitroshroom,2
45,Devil's Blight,2
46,Parashroom,3
47,Toadstool,2
48,Exciteshroom,3
49,Bitterbug,1
50,Flashbug,2
51,Godbug,4
52,Thunderbug,4
53,Baitbug,3
54,Kelbi Horn,4
55,Dash Extract,4
56,Nourishing Extract,4
57,Screamer Sac,2
58,Catalyst,2
59,Tranq Bomb,3
60,Flash Pod,2
61,Screamer Pod,2
62,Smoke Bomb,2
63,Poison Smoke Bomb,2
64,Farcaster,3
65,Raw Meat,1
66,Poisoned Meat,2
67,Tinged Meat,2
68,Drugged Meat,2
69,Gunpowder,2
70,Small Barrel,1
71,Barrel Bomb,2
72,Bounce Bomb,2
73,Mega Bounce Bomb,4
74,Large Barrel,2
75,Large Barrel Bomb,3
76,Mega Barrel Bomb,4
77,Spider Web,1
78,Net,2
79,Trap Tool,3
80,Pitfall Trap,3
81,Shock Trap,3
83,Dung,1
84,Dung Pod,2
85,Arowana Bait,2
86,Gunpowderfish Bait,2
87,Goldenfish Bait,2
88,Boomerang,4
89,Binoculars,1
90,Powercharm,5
92,Armorcharm,5
94,Needleberry,1
95,Blastnut,1
96,Dragonstrike Nut,2
98,Latchberry,1
99,Bomberry,2
100,Flamenut,2
102,Gunpowder Level 2,2
103,Gunpowder Level 3,2
104,Whetfish Fin,2
106,Sushifish Scale,2
107,Great Sushifish Scale,4
110,Burst Arowana Scale,2
111,Great Burst Arowana Scale,4
138,Normal Ammo 2,2
139,Normal Ammo 3,3
140,Pierce Ammo 1,1
141,Pierce Ammo 2,2
142,Pierce Ammo 3,3
143,Spread Ammo 1,1
144,Spread Ammo 2,2
145,Spread Ammo 3,3
146,Sticky Ammo 1,1
147,Sticky Ammo 2,2
148,Sticky Ammo 3,3
149,Cluster Bomb 1,2
150,Cluster Bomb 2,3
151,Cluster Bomb 3,4
152,Flaming Ammo,2
153,Water Ammo,2
154,Thunder Ammo,2
155,Freeze Ammo,2
156,Dragon Ammo,3
157,Poison Ammo 1,2
158,Poison Ammo 2,3
159,Paralysis Ammo 1,2
160,Paralysis Ammo 2,3
161,Sleep Ammo 1,2
162,Sleep Ammo 2,3
163,Exhaust Ammo 1,2
164,Exhaust Ammo 2,3
165,Recover Ammo 1,2
166,Recover Ammo 2,3
167,Wyvern Ammo,3
168,Slicing Ammo,2
169,Tranq Ammo,3
170,Demon Ammo,4
171,Armor Ammo,4
174,Empty Phial,1
175,Power Coating,2
176,Poison Coating,3
177,Paralysis Coating,3
178,Sleep Coating,3
180,Blast Coating,3
205,Iron Ore,4
206,Machalite Ore,4
207,Dragonite Ore,4
208,Carbalite Ore,6
209,Fucium Ore,6
210,Earth Crystal,4
211,Coral Crystal,4
212,Dragonvein Crystal,6
213,Lightcrystal,5
214,Novacrystal,7
215,Firecell Stone,7
216,Aquacore Ore,4
217,Spiritcore Ore,6
218,Dreamcore Ore,7
220,Armor Sphere,4
221,Armor Sphere+,5
